District,Code,Party,First_Name,Last_Name,Pronunciation Guide,,First Elected,Birth Year,Gender,Race/ Ethnicity,Religion,Openly LGBTQ,Pre-2016 Incumbent,HouseDem16,HouseRep16,HouseDem14,HouseRep14,Clinton16,Trump16,PVI,PVInum,Obama12,Rom12,PVI12,PVI12Num,Obama08,MCain08,PVI08,PVI08num,2010 Census Adult Population by Race,,,,,,2015 American Community Survey Income and Education,,,,,,2016 Two-Party,,2014 Two-Party,,2012 Two-Party,,,2016 House,,,,2014 House,,,,2012 House 2-Party,,2016 President,,,2012 President,,,2008 President Two-Party,,,Partisan Voter Index,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,
Arizona 8th,AZ-08,Republican,Trent,Franks,(CHRENT FRAYNKS),/tʃɹɛnt fɹeɪŋks/,2002,1957,Man,White - Non-Hispanic,Southern Baptist,No,Re-elected,0,68.5,0,75.8,37,58.1,R+,12,36.9,61.7,R+,15,38.8,61.2,R+,15,76.1,3.6,15.1,3.2,0.7,1.3,27.7,232,29,276,"$60,858.00",153,0,100,0,100,35.6,64.4,16,,,,,169776,0,128710,41066,95635,172809,327325,120992,190163,291126,107335,179555,285126,110610,174516,-12.2,-14.6,-14.9,710225,509305,27059,131226,23104,5003,14528,536590,408385,19155,81076,17325,3619,7030
Arizona 9th,AZ-09,Democratic,Kyrsten,Sinema,(KEER-sten SIN-eh-muh),/'kɪəɹ.stɛn 'sɪ.nɛ.mə/,2012,1976,Woman,White - Non-Hispanic,Unspecified,Bisexual,Re-elected,60.9,39,54.7,41.9,54.7,38.4,D+,8,51.1,46.6,D+,0,52,48,R+,2,64.4,4.7,22.4,4.5,2.3,1.7,36.9,100,43.6,96,"$51,435.00",254,60.9,39.1,56.6,43.4,52.2,47.8,17,,,,,162062,88609,67841,5612,121881,111630,283863,155158,109123,264563,135244,123263,270440,140546,129894,7.6,0.4,-1.7,710224,419811,34377,191017,30781,17644,16594,549718,353803,25721,123390,24795,12553,9456
Arkansas 1st,AR-01,Republican,Rick,Crawford,(RICK KRAW-ferd),/ɹɪk 'kɹɔ.fəɹd/,2010,1966,Man,White - Non-Hispanic,Southern Baptist,No,Re-elected,0,76.3,32.4,63.3,30.2,65,R+,19,36.3,61,R+,15,40.3,59.7,R+,13,79.5,16.4,2.3,0.5,0.4,0.9,15.4,420,17.1,428,"$36,882.00",421,0,100,33.9,66.1,41,59,18,,,,,196256,63555,124139,8562,96601,138800,260717,78688,169438,253460,92086,154549,254588,102670,151918,-19.4,-14.6,-13.4,728765,561127,131685,20302,3816,2841,8994,553023,439894,90634,12457,2954,2231,4853
Arkansas 2nd,AR-02,Republican,French,Hill,(FRENCH HILL),/fɹɛntʃ hɪl/,2014,1956,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,36.8,58.3,43.6,51.9,41.7,52.4,R+,7,42.9,54.7,R+,8,45.2,54.8,R+,9,73.4,19.6,4,1.4,0.4,1.1,29,214,31.2,240,"$47,118.00",327,38.7,61.3,45.7,54.3,41.7,58.3,19,,,,,237330,103477,123073,10780,113156,158175,306974,127883,160782,292515,125527,160140,287620,129888,157732,-6.8,-8,-8.5,729192,512941,155352,35048,10421,3117,12313,553609,406362,108270,22315,7972,2387,6303
Arkansas 3rd,AR-03,Republican,Steve,Womack,(STEEV WOH-mack),/stiv 'woʊ.mæk/,2010,1957,Man,White - Non-Hispanic,Southern Baptist,No,Re-elected,0,77.3,0,79.4,30.5,61.9,R+,18,31.6,65.5,R+,19,34.7,65.3,R+,19,81.8,2.4,10,2.9,1.3,1.6,26.5,253,28.3,293,"$46,740.00",336,0,100,0,100,0,100,20,,,,,190935,0,151630,39305,0,186467,292163,89081,180921,257668,81413,168703,247768,85866,161902,-18.1,-19.4,-19,728959,569478,18752,92851,22190,9591,16097,541997,443612,13066,54056,15601,6814,8848
Arkansas 4th,AR-04,Republican,Bruce,Westerman,(BROOS WEST-er-muhn),/bɹus 'wɛ.stəɹ.mən/,2014,1967,Man,White - Non-Hispanic,Southern Baptist,No,Re-elected,0,74.9,42.6,53.7,31.3,64.2,R+,18,35.9,61.8,R+,15,38.4,61.6,R+,15,75.4,18.3,4,0.6,0.6,1,15.9,416,17.5,427,"$37,728.00",418,0,100,44.2,55.8,38.1,61.9,21,,,,,206131,87742,110789,7600,95013,154149,270781,84842,173731,265825,95383,164352,270351,103886,166465,-18.3,-15.2,-15.3,729002,529923,141313,37849,4729,4634,10554,555814,419039,101917,22266,3434,3444,5714
California 1st,CA-01,Republican,Doug,LaMalfa,(DUHG luh-MAL-fuh),/dʌg lə.'mæl.fə/,2012,1960,Man,White - Non-Hispanic,Christian,No,Re-elected,40.9,59.1,39,61,36.5,56.2,R+,12,40.3,56.6,R+,10,44,56,R+,10,82.1,1.3,9.9,2.3,1.8,2.6,24.2,298,25.6,332,"$46,091.00",344,40.9,59.1,39,61,42.6,57.4,22,,,,,216372,84320,132052,0,125386,168827,313968,114727,176358,303928,122379,171902,316882,139522,177360,-11.7,-10.4,-9.7,704304,556527,9075,84890,17617,13263,22932,555171,455854,7455,55094,12852,9745,14171
California 2nd,CA-02,Democratic,Jared,Huffman,(JAIR-ed HUHF-muhn),/'dʒɛ.ɹɛd 'hʌf.mən/,2012,1964,Man,White - Non-Hispanic,Unspecified,No,Re-elected,76.9,23.1,75,25,69,23.3,D+,24,69,27,D+,20,73.7,26.3,D+,20,76.2,1.7,14.1,3.6,1.9,2.5,40.7,70,45.6,82,"$65,414.00",111,76.9,23.1,75,25,71.2,28.8,23,,,,,217524,163124,54400,0,226216,91310,344971,238157,80545,333442,230212,89908,346706,255585,91121,23.6,19.9,20,701504,510654,11090,116747,24899,14751,23363,554173,422538,9268,78130,19890,10399,13948
California 3rd,CA-03,Democratic,John,Garamendi,(JAHN gair-uh-MEN-dee),/dʒɑn ˌgɛ.ɹə.'mɛn.di/,2009 Special,1945,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,59.4,40.6,52.7,47.3,53,40.4,D+,6,54.3,43.1,D+,4,56.1,43.9,D+,2,55.1,6,23.6,11.2,0.9,3.3,24.9,285,28.5,289,"$57,401.00",179,59.4,40.6,52.7,47.3,54.2,45.8,24,,,,,150260,79224,71036,0,126882,107086,262086,138882,105860,241687,131237,104145,248574,139554,109020,5.6,3.8,2.5,702044,356604,40957,194579,73565,6199,30140,525021,289176,31514,123713,58628,4659,17331
California 4th,CA-04,Republican,Tom,McClintock,(TAHM mu-KLIN-tahk),/tɑm mə.'klɪn.tɑk/,2008,1956,Man,White - Non-Hispanic,Baptist,No,Re-elected,37.3,62.7,0,100,39.3,54,R+,9,39.5,57.9,R+,11,44.5,55.5,R+,9,81,1.2,10.4,4,1,2.3,32,155,33.1,208,"$70,582.00",81,37.3,62.7,0,100,38.9,61.1,25,,,,,211134,0,211134,0,125885,197803,353388,138790,190924,337634,133473,195386,337328,149979,187349,-9,-11.4,-9.2,701728,548837,8267,86784,28965,7314,21561,543649,440426,6626,56547,21935,5584,12531
California 5th,CA-05,Democratic,Mike,Thompson,(MIKE TAHMP-suhn),/maɪk 'tɑmp.sən/,1998,1951,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,76.9,23.1,75.7,0,69.2,24.3,D+,23,69.7,27.5,D+,20,72.5,27.5,D+,19,57.8,6.2,21.5,11.3,0.6,2.6,30.3,183,37,158,"$67,197.00",96,76.9,23.1,100,0,74.5,25.5,26,,,,,171148,129613,0,41535,202872,69545,305052,210950,74088,286658,199924,78703,297778,215794,81984,22.9,19.8,18.8,706154,373331,45269,181046,77273,4349,24886,547233,316081,34010,117611,61790,3388,14353
California 6th,CA-06,Democratic,Doris,Matsui,(DOR-iss matt-SOO-ee),/'dɔ.ɹɪs mæt.'su.i/,2005 Special,1944,Woman,Asian - Japanese,Methodist,No,Re-elected,75.4,24.6,72.7,27.3,69.2,24.4,D+,23,69.1,28.3,D+,19,69.8,30.2,D+,16,43.7,12.1,23.3,16.4,0.6,3.7,26.6,250,36.6,164,"$49,523.00",287,75.4,24.6,72.7,27.3,75.1,24.9,27,,,,,133456,97008,36448,0,160667,53406,243910,168687,59549,225831,156141,63862,233485,162876,70609,22.8,19,16.1,702413,272613,88367,189643,113647,4236,33907,520901,227625,63260,121584,85552,3357,19523
California 7th,CA-07,Democratic,Ami,Bera,(AH-mee BEAR-uh),/'ɑ.mi 'bɛ.ɹə/,2012,1965,Man,Asian - Indian,Unitarian Universalist,No,Re-elected,51.2,48.8,50.4,49.6,52.3,40.9,D+,5,50.8,46.8,D+,0,52.7,47.3,R+,1,61.4,7,13.6,14.1,0.5,3.3,33.4,136,35.3,183,"$70,131.00",84,51.2,48.8,50.4,49.6,51.7,48.3,28,,,,,183587,92521,91066,0,141241,132050,304118,159066,124249,285997,145147,133888,289764,152833,136931,5,0.1,-0.9,698200,400468,51089,112087,99245,3575,31736,521668,320465,36698,71114,73359,2796,17236
California 8th,CA-08,Republican,Paul,Cook,(PAWL COOK),/pɔl kʊk/,2012,1943,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,37.7,62.3,32.4,67.6,39.6,54.7,R+,9,41.7,55.6,R+,9,43.5,56.5,R+,10,56,7.1,30.3,3.5,1.1,2.2,17.4,407,20.4,407,"$46,468.00",339,37.7,62.3,32.4,67.6,0,100,29,,,,,114536,37056,77480,0,0,179644,232835,92234,127464,212633,88579,118278,215336,93727,121609,-9.1,-9.1,-10.2,704301,352877,53306,249040,22288,6914,19876,504172,282090,35578,152682,17547,5367,10908
California 9th,CA-09,Democratic,Jerry,McNerney,(JAIR-ee mick-NER-nee),/'dʒɛ.ɹi mɪk.'nɜɹ.ni/,2006,1951,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,57.4,42.6,52.4,47.6,56.6,38,D+,9,57.8,40.1,D+,7,58,42,D+,4,42,8.1,32.6,14.2,0.5,2.7,19.1,393,23.1,374,"$57,509.00",178,57.4,42.6,52.4,47.6,55.6,44.4,30,,,,,121204,63475,57729,0,118373,94704,238191,134719,90484,220312,127418,88403,215574,125050,90524,8.7,7.1,4.3,702985,259204,58406,261012,96447,3180,24736,498183,209238,40215,162433,70555,2460,13282
California 10th,CA-10,Republican,Jeff,Denham,(JEFF DEN-um),/dʒɛf 'dɛn.əm,2010,1967,Man,White - Non-Hispanic,Presbyterian,No,Re-elected,48.3,51.7,43.9,56.1,48.5,45.5,D+,0,50.6,47,R+,0,51.4,48.6,R+,2,51.8,3.3,34.8,6.9,0.6,2.6,17.9,403,22.5,385,"$56,368.00",194,48.3,51.7,43.9,56.1,47.3,52.7,31,,,,,125705,55123,70582,0,98934,110265,239680,116335,109145,215113,108923,101160,216202,111201,105001,0.5,-0.1,-2.3,704763,327195,22872,282246,46451,3772,22227,501640,259974,16522,174810,34451,3016,12867
California 11th,CA-11,Democratic,Mark,DeSaulnier,(MARK duh-SOWN-yay),/mɑɹk də.'soʊn.jeɪ/,2014,1952,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,72.1,27.9,67.3,32.7,71.5,22.7,D+,25,67.6,30,D+,17,70.7,29.3,D+,17,52.3,8.8,22.1,13.7,0.3,2.8,43,52,55.9,31,"$79,622.00",46,72.1,27.9,67.3,32.7,69.7,30.3,32,,,,,174662,117502,57160,0,200743,87136,312568,223559,70869,301134,203699,90226,306269,216612,89657,24.8,17.3,17,703454,340992,62761,180136,90522,1750,27293,536843,280764,47427,118732,73394,1419,15107
California 12th,CA-12,Democratic,Nancy,Pelosi,(NANN-see puh-LOW-see),/'næn.si pə.'loʊ.si/,1986,1940,Woman,White - Non-Hispanic,Roman Catholic,No,Re-elected,80.9,0,83.3,16.7,86.2,8.7,D+,40,84.1,12.5,D+,35,86.8,13.2,D+,33,46.3,5.6,13.5,31.5,0.2,2.9,56.6,9,75.2,3,"$93,122.00",19,100,0,83.3,16.7,85.1,14.9,33,,,,,192264,160067,32197,0,253709,44478,358774,309221,31158,320387,269461,40003,331972,288054,43918,39.7,35.1,33.1,704634,309837,41248,103420,223176,1649,25304,614229,284283,34401,83033,193448,1507,17557
California 13th,CA-13,Democratic,Barbara,Lee,(BAR-bruh LEE),/'bɑɹ.bɹə li/,1998 Special,1946,Woman,Black - African-American,Baptist,No,Re-elected,90.8,9.2,88.5,11.5,87.4,6.8,D+,42,87.5,9,D+,39,89.7,10.3,D+,36,37.4,19,18,22.1,0.3,3.4,47.5,29,70.8,6,"$66,046.00",108,90.8,9.2,88.5,11.5,100,0,34,,,,,190431,168491,21940,0,250436,0,334194,291926,22743,306314,268093,27474,313400,281187,32213,41.7,38.7,36,702076,240266,134641,146220,148205,2015,30729,561936,210024,106546,100941,123914,1673,18838
California 14th,CA-14,Democratic,Jackie,Speier,(JACK-ee SPEAR),/'dʒæ.ki spɪəɹ/,2008 Special,1950,Woman,White - Non-Hispanic,Roman Catholic,No,Re-elected,80.9,19.1,76.7,23.3,76.9,18.2,D+,30,74.2,23.6,D+,24,75,25,D+,21,39.3,3.4,22,32.4,0.2,2.7,44.9,39,52.9,42,"$98,129.00",10,80.9,19.1,76.7,23.3,78.9,21.1,35,,,,,149146,114389,34757,0,203828,54455,297743,229008,54229,269882,200343,63589,266330,199653,66677,29.7,23.9,21.3,702860,259361,22764,171572,221935,1118,26110,553566,217820,19000,121763,179300,930,14753
California 15th,CA-15,Democratic,Eric,Swalwell,(AIR-ick SWAWL-well),/'ɛ.ɹɪk 'swɔl.wɛl/,2012,1980,Man,White - Non-Hispanic,Christian,No,Re-elected,73.8,26.2,69.8,30.2,69.9,24.2,D+,23,68,29.8,D+,18,69,31,D+,15,41,6.5,21,28.1,0.3,3.2,43.6,47,47.8,68,"$100,634.00",9,73.8,26.2,69.8,30.2,100,0,36,,,,,142904,99756,43148,0,231034,0,284536,198964,68808,260611,177243,77748,264100,182142,81958,23.2,17.5,15.3,703021,264503,45726,164646,196110,1912,30124,525308,215417,33904,110392,147403,1477,16715
California 16th,CA-16,Democratic,Jim,Costa,(JIM KAH-stuh),/dʒɪm 'kɑ.stə/,2004,1952,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,58,42,50.7,49.3,58,36.4,D+,10,58.6,39.4,D+,8,59.4,40.6,D+,6,30.2,6.1,52.9,8.5,0.7,1.7,12.1,431,21.6,399,"$39,211.00",410,58,42,50.7,49.3,57.4,42.6,37,,,,,91220,46277,44943,0,84649,62801,169964,98504,61813,151953,88973,59808,148138,88039,60099,10.3,7.8,5.7,703467,176602,40783,408115,60491,4226,13250,478738,144747,28987,253034,40776,3203,7991
California 17th,CA-17,Democratic,Ro,Khanna,(ROH KAHN-uh),/ɹoʊ 'kɑ.nə/,2016,1976,Man,Asian - Indian,Hindu,No,Defeated,100,0,100,0,73.9,20.5,D+,27,71.9,25.5,D+,22,71.2,28.8,D+,18,30,2.4,15.6,49.3,0.2,2.5,55.1,11,50.4,52,"$111,024.00",3,100,0,100,0,73.5,26.5,38,,,,,134408,134408,0,0,159392,57336,248695,183801,50926,227806,163862,58193,233223,166096,67127,27.2,21.8,17.5,705190,188718,16705,122990,350699,1365,24713,539199,161494,12808,84268,265956,944,13729
California 18th,CA-18,Democratic,Anna,Eshoo,(ANN-uh EH-shoo),/'æ.nə 'ɛ.ʃu/,1992,1942,Woman,White - Non-Hispanic,Roman Catholic,No,Re-elected,71.1,28.9,67.8,32.2,73.4,20.2,D+,27,68.2,28.9,D+,18,71.8,28.2,D+,18,61.1,2,15,19.2,0.2,2.5,61.1,3,64.1,14,"$120,089.00",1,71.1,28.9,67.8,32.2,70.5,29.5,39,,,,,196386,133060,63326,0,212831,89103,335138,246015,67808,319615,218082,92457,322807,231779,91028,27.3,18.3,18.1,701054,406641,13065,119163,134007,1444,26734,541587,331125,10594,81120,104146,1195,13407
California 19th,CA-19,Democratic,Zoe,Lofgren,(ZOH LAWF-gren),/zoʊ 'lɔf.gɹɛn/,1994,1947,Woman,White - Non-Hispanic,Lutheran,No,Re-elected,73.9,26.1,100,0,72.9,21.5,D+,26,71.2,26.5,D+,21,69.9,30.1,D+,16,30.4,3,37.2,27,0.3,2.1,34.2,130,46.5,76,"$85,536.00",30,73.9,26.1,100,0,73.2,26.8,40,,,,,127788,127788,0,0,162300,59313,257624,187828,55371,232442,165530,61643,227548,159069,68479,26.1,20.9,16.2,700886,189148,19865,290200,181245,1917,18511,521393,158639,15729,193759,140784,1517,10965
California 20th,CA-20,Democratic,Jimmy,Panetta,(JIM-ee puh-NET-uh),/'dʒɪ.mi pə.'nɛ.ɾə,2016,1969,Man,White - Non-Hispanic,Roman Catholic,No,Open - Retired,70.8,29.2,75.2,0,70.4,23.2,D+,24,70.9,26.2,D+,21,73.4,26.6,D+,20,44.9,2.2,44.4,6,0.4,2.1,26.1,262,42.5,102,"$61,507.00",145,70.8,29.2,100,0,74.1,25.9,41,,,,,141044,106034,0,35010,172996,60566,256538,180486,59573,238341,168956,62427,238438,175070,63368,24.1,21.1,19.7,704856,276231,13944,356892,37633,2460,17696,525025,235633,11761,233001,31566,2005,11059
California 21st,CA-21,Republican,David,Valadao,(DAY-vid val-uh-DAY-oh),/'deɪ.vɪd ˌvæ.lə.'deɪ.oʊ/,2012,1977,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,43.3,56.7,42.2,57.8,55.2,39.7,D+,7,54.6,43.5,D+,4,53.6,46.4,R+,0,23.2,5.3,65.9,3.8,0.6,1.2,9.1,434,18.2,423,"$37,970.00",415,43.3,56.7,42.2,57.8,42.2,57.8,42,,,,,79377,33470,45907,0,49119,67164,133544,73773,52972,119232,65146,51917,123759,66369,57390,7.1,3.7,-0.1,700644,134972,31296,497434,23677,3702,9563,473659,110029,24960,312130,18103,2713,5724
